MV-0122	RMAT-0122							800	Песок строительный, м³	Показать строкой	Да	Да		м3		м3			BACKFILL						Backfill	BACKFILL
MV-0123	RMAT-0123							220	Бордюрный камень	Показать строкой	Да	Да		шт		шт			BACKFILL						Backfill	BACKFILL
MV-0124	RMAT-0124							380	Семена газонные	Показать строкой	Да	Да		кг		кг			BACKFILL						Backfill	BACKFILL
MV-0125	RMAT-0125							85	Трубы ПНД Ø32	Показать строкой	Да	Да		пог.м		пог.м			BACKFILL						Backfill	BACKFILL
MV-0126	RMAT-0126							1200	Спринклеры роторные	Показать строкой	Да	Да		шт		шт			BACKFILL						Backfill	BACKFILL
MV-0127	RMAT-0127							2800	Светильник грунтовый	Показать строкой	Да	Да		шт		шт			BACKFILL						Backfill	BACKFILL
