RWORK-0158	Установка пластикового бордюра	Установка пластикового бордюра	Мощение	Бордюры и ограничения	Работа	пог.м	за пог.м	180		Показать строкой	пластиковый, бордюр		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0159	Посадка кустарника	Посадка кустарника	Посадки и уход	Уход и посадка	Работа	шт	за шт	800		Показать строкой	посадка, кустарник		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0160	Посадка дерева (до 2м)	Посадка дерева (до 2м)	Посадки и уход	Уход и посадка	Работа	шт	за шт	2500		Показать строкой	посадка, дерево, малое		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0161	Посадка дерева (от 2м)	Посадка дерева (от 2м)	Посадки и уход	Уход и посадка	Работа	шт	за шт	6000		Показать строкой	посадка, дерево, крупное		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0162	Посадка многолетников	Посадка многолетников	Посадки и уход	Уход и посадка	Работа	шт	за шт	350		Показать строкой	посадка, многолетники		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0163	Посадка однолетников	Посадка однолетников	Посадки и уход	Уход и посадка	Работа	шт	за шт	120		Показать строкой	посадка, однолетники		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0164	Монтаж зоны полива (базовый)	Монтаж зоны полива (базовый)	Полив	Монтаж системы полива	Работа	зон	за зон	18000		Показать строкой	монтаж, зона, полив, базовый		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0165	Монтаж зоны полива (премиум)	Монтаж зоны полива (премиум)	Полив	Монтаж системы полива	Работа	зон	за зон	32000		Показать строкой	монтаж, зона, полив, премиум		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0166	Монтаж капельного полива	Монтаж капельного полива	Полив	Монтаж системы полива	Работа	зон	за зон	45000		Показать строкой	монтаж, капельный, полив		Да		Да	BACKFILL	Backfill	0	BACKFILL
RWORK-0167	Монтаж фасадного освещения	Монтаж фасадного освещения	Освещение	Оборудование и комплектующие	Работа	точек	за точку	8000		Показать строкой	монтаж, фасадное, освещение		Да		Да	BACKFILL	Backfill	0	BACKFILL
