RMAT-0122	песок строительный м3	Песок строительный, м³	Песок строительный, м³	Мощение	Основание	Материал	м3			Сыпучий / объёмный	Показать строкой	Да		Сыпучие / объёмные	1.08	NetQty x reserve coeff	Да
RMAT-0123	бордюрный камень бетонный	Бордюрный камень бетонный	Бордюрный камень	Мощение	Бордюры и ограничения	Материал	шт			Бортовой элемент	Показать строкой	Да			1		Да
RMAT-0124	семена газонные	Семена газонные	Семена газонные	Газон	Материалы и комплектующие	Материал	кг			Прочий материал	Показать строкой	Да			1		Да
RMAT-0125	труба пнд 32	Труба ПНД Ø32	Трубы ПНД Ø32	Полив	Трубопровод	Материал	пог.м			Прочий материал	Показать строкой	Да			1		Да
RMAT-0126	спринклер роторный	Спринклер роторный	Спринклеры роторные	Полив	Оборудование	Материал	шт			Прочий материал	Показать строкой	Да			1		Да
RMAT-0127	светильник грунтовый	Светильник грунтовый	Светильник грунтовый	Освещение	Оборудование и комплектующие	Материал	шт			Прочий материал	Показать строкой	Да			1		Да
